,Correlation
Sports,0.026842547269967383
News & Politics,0.015266759307145116
Music,-0.10440556891122765
Entertainment,0.002439179095391113
Gaming,-0.16212145086305205
People & Blogs,-0.08095717081179472
Film & Animation,0.044697958575322334
Howto & Style,-0.029426435470019982
Comedy,-0.1245312793992342
Pets & Animals,-0.29075606373036167
Education,-0.5652353741681605
Science & Technology,-0.23064923197488088
Travel & Events,-0.20069785042142613
Autos & Vehicles,0.4641785733501858
Nonprofits & Activism,-1.0
